# seed=fixture
universe_id	parent_id	source_type	db_layer	family	coords	ungapped_len	seq_sha1
1814953751	1814953751	family	pfam	PF00001	-	4	aae3ba9ebe5442a695aa47b8eec8b4ebc7502649
711279214	711279214	family	pfam	PF00002	-	4	8d50a9868cf23935a7cd4520d51acd913d6e0061
1446399400	1446399400	family	pfam	PF00003	-	4	9e6ceb18cd40cb23934a4738d9e2efb9d3ca0999
2632373804	2632373804	family	pfam	PF00004	-	4	78a63c3bc334485a97efdaf60d584075888e68d6
Q9X1J3/1-250	Q9X1J3	family	pfam	PF00069	1-250	4	c90a51444986149f2460e4b6be5e3a6106bba388
X	X	family	pfam	PF00005	-	4	30188df1e8f54947cecac2be2149bc890959b713
X_1_2	X_1_2	family	pfam	PF00006	-	4	4a873311f93b703007de754358e1a5956ba2e634
LEGIT_12_34	LEGIT_12_34	family	pfam	PF00007	-	4	ee958b6d92aa08e71e86adbb0322d4c313c688b2
COLLIDE/1-10	COLLIDE	family	pfam	PF00008	1-10	4	e62e03e69f8b7056a3e0a450c6faa9960d54210d
COLLIDE/20-30	COLLIDE	family	pfam	PF00009	20-30	4	c7c24b973b993d4cc1592e2ec8abfb4c86f84b3e
sp_P12345_NAME	P12345	decoy	-	-	-	4	18dd8be3331386a7b7e3916c8ca24b38af541da2
tr_Q8ZZZ9_DECOY	Q8ZZZ9	decoy	-	-	-	4	7e37e56e27d48221c24eef158de51acd820985d6
